cmpdiupacname,rotbonds,hbonddonor,mf,cid,complexity,mw,heavycnt,cmpdname,polararea,cmpdinchikey,hbondacc,xlogp
5-methyl-1H-imidazole;sodium,0,1,C4H6N2Na,69689724,44.8,105.093,7,SCHEMBL6169040,28.7,ZYSTXYNXFAVOHB-UHFFFAOYSA-N,1,
sodium;5-methyl-1H-imidazole,0,1,C4H6N2Na+,22662879,44.8,105.093,7,,28.7,UPIRZCWMWLACBX-UHFFFAOYSA-N,1,
[(1S)-1-(1H-imidazol-5-yl)ethyl]boron,1,1,C5H7BN2,89972911,76.8,105.933,8,SCHEMBL15478600,28.7,QUIIQZBZMWVPIT-BYPYZUCNSA-N,1,
"1,6-dihydrocyclopenta[d]imidazole",0,1,C6H6N2,20255128,120,106.125,8,SCHEMBL1421150,28.7,ZFJKWGRCVBGSQD-UHFFFAOYSA-N,1,0
methyl-(4-methyl-1H-imidazol-5-yl)boron,1,1,C5H8BN2,54268927,76.8,106.941,8,,28.7,NKAWFMNYGBWCMV-UHFFFAOYSA-N,1,
4-amino-1H-imidazole-5-carbonitrile,0,2,C4H3N4,57446443,123,107.093,8,,78.5,UJFIWFIZODUMGQ-UHFFFAOYSA-N,3,0
2-(1H-imidazol-5-yl)acetonitrile,1,1,C5H5N3,571973,112,107.113,8,18502-05-1,52.5,DQZBHUXBFNBJLX-UHFFFAOYSA-N,2,0
"1,6-dihydropyrrolo[2,3-d]imidazole",0,1,C5H5N3,69110148,121,107.113,8,SCHEMBL4600569,41,GHKNOFMQAXSKOD-UHFFFAOYSA-N,2,0
2-(1H-imidazol-5-yl)ethynamine,1,2,C5H5N3,69174626,129,107.113,8,SCHEMBL4752201,54.7,QYCKBGIACRHQGW-UHFFFAOYSA-N,2,0
"1,4-dihydropyrrolo[2,3-d]imidazole",0,2,C5H5N3,59777381,93.7,107.113,8,SCHEMBL1420949,44.5,BWTLMXHSSDFMKN-UHFFFAOYSA-N,1,0
4-isocyano-5-methyl-1H-imidazole,0,1,C5H5N3,58994455,123,107.113,8,,33,QPLOTHHWSARQFA-UHFFFAOYSA-N,2,0
2-(1H-imidazol-5-yl)ethenimine,1,2,C5H5N3,87798486,115,107.113,8,SCHEMBL5230333,52.5,WGPYWLPIWDLEKB-UHFFFAOYSA-N,2,0
"1,5-dihydropyrrolo[3,4-d]imidazole",0,2,C5H5N3,19385693,93.7,107.113,8,SCHEMBL4047101,44.5,YAGOYANIFBKCIP-UHFFFAOYSA-N,1,0
5-methyl-1H-imidazole-4-carbonitrile,0,1,C5H5N3,21793339,123,107.113,8,5-Methyl-1H-imidazole-4-carbonitrile,52.5,KODWZZOTTOSNLW-UHFFFAOYSA-N,2,0
5-(isocyanomethyl)-1H-imidazole,1,1,C5H5N3,46915320,112,107.113,8,SCHEMBL11986227,33,KWAVKBYTCIRFJF-UHFFFAOYSA-N,2,0
4-cyclopropyl-1H-imidazole,1,1,C6H7N2,57493177,88.5,107.133,8,,28.7,TXBLWUWHGYAFST-UHFFFAOYSA-N,1,0
1H-imidazole;potassium,0,1,C3H4KN2,67086713,28.1,107.175,6,imidazole potassium,28.7,RBWFVUDBNNXTFZ-UHFFFAOYSA-N,1,
potassium;1H-imidazole,0,1,C3H4KN2+,18415043,28.1,107.175,6,,28.7,RVTSQOJSRPVCML-UHFFFAOYSA-N,1,
1H-imidazol-5-yl(dimethyl)borane,1,1,C5H9BN2,59204277,74.8,107.949,8,SCHEMBL13342170,28.7,NUBNZQLELNAYMJ-UHFFFAOYSA-N,1,
5-cyano-1H-imidazol-4-olate,0,1,C4H2N3O-,101940031,127,108.078,8,5-Cyano-1H-imidazole-4-olate,75.5,WMJORRSQKXCYDF-UHFFFAOYSA-M,3,0
"1H-furo[2,3-d]imidazole",0,1,C5H4N2O,19385647,96.4,108.098,8,SCHEMBL217336,41.8,BLXHRZZPODXIEQ-UHFFFAOYSA-N,2,0
"1H-furo[3,4-d]imidazole",0,1,C5H4N2O,20093437,96.4,108.098,8,SCHEMBL3604723,41.8,HIPFVDTVHHVQJN-UHFFFAOYSA-N,2,0
"1,6-dihydroimidazo[4,5-d]imidazole",0,2,C4H4N4,572565,84,108.101,8,"1,6-Dihydroimidazo[4,5-d]imidazole",57.4,JGJQDJYSNHFAMN-UHFFFAOYSA-N,2,0
4-amino-1H-imidazole-5-carbonitrile,0,2,C4H4N4,78777,123,108.101,8,5098-11-3,78.5,XEPBRDBFOSKYCF-UHFFFAOYSA-N,3,0
5-isocyano-1H-imidazol-4-amine,0,2,C4H4N4,18726939,123,108.101,8,SCHEMBL11946872,59.1,BYMXKUISRYAJBM-UHFFFAOYSA-N,3,0
"1,2-dihydroimidazo[4,5-c]pyrazole",0,2,C4H4N4,19385709,94,108.101,8,SCHEMBL9127861,57.4,JMRSLYIRRDAILK-UHFFFAOYSA-N,2,0
5-prop-2-enyl-1H-imidazole,2,1,C6H8N2,572252,80.6,108.141,8,"1H-Imidazole, 4-(2-propenyl)-",28.7,PJCTVLGNVGGVJR-UHFFFAOYSA-N,1,1.1
"6-methyl-2,4-diazabicyclo[3.2.0]hepta-1(5),3-diene",0,1,C6H8N2,89225446,103,108.141,8,SCHEMBL14024444,28.7,AFBQCZHTUUZBHD-UHFFFAOYSA-N,1,0
5-cyclopropyl-1H-imidazole,1,1,C6H8N2,19031522,88.5,108.141,8,5-CYCLOPROPYL-1H-IMIDAZOLE,28.7,BNFGUBCFRVUHJH-UHFFFAOYSA-N,1,0
5-prop-1-en-2-yl-1H-imidazole,1,1,C6H8N2,18784987,98.7,108.141,8,SCHEMBL3398337,28.7,NASHFSMQOCWCRM-UHFFFAOYSA-N,1,0.001
5-prop-1-enyl-1H-imidazole,1,1,C6H8N2,54319413,88.5,108.141,8,,28.7,QVTTWNXAJRQQHZ-UHFFFAOYSA-N,1,0.001
